"","X","age","waa","maa","naa","baa","ssb","faa","M","catch","Fmulti"
"44",44,1,125.499808174986,0.0216729677086187,9.08756314970396,1140.48743206592,24.71774728725,0.0193166912622538,0.4,17.8639104027484,0.6
"45",45,2,195.790323554665,0.0615358168160764,5.97503586701094,1169.8542056528,71.9879341005672,0.0503533818444038,0.4,47.0341467852241,0.6
"46",46,3,261.23091309632,0.373794289393116,3.80850498141259,994.899233826295,371.887652125855,0.127362609532856,0.4,97.4090264594545,0.6
"47",47,4,322.156213422081,1,2.24762501370973,724.086363609479,724.086363609479,0.147090170155595,0.4,81.0898197856051,0.6
"48",48,5,378.877771797122,1,1.30054569153854,492.747853730471,492.747853730471,0.167239108352694,0.4,62.1289728856337,0.6
"49",49,6,431.685639255969,1,1.70364118026802,735.437431966796,735.437431966796,0.167239108352694,0.4,92.7289118031111,0.6
"50",50,0,49.999929782297,0,13.4117558679789,670.586851656256,0,0.0139153641971168,0.4,7.58704283177733,0.7
"51",51,1,129.170026059809,0.0218155071522862,8.86593373054643,1145.21289101922,24.9834000149203,0.0225361398059627,0.4,20.8940384477183,0.7
"52",52,2,202.877520541602,0.0649653102988868,5.81057842047618,1178.83574285874,76.583429826237,0.0587456121518045,0.4,55.0650239019298,0.7
"53",53,3,271.499323447336,0.394123593480609,3.67272726394176,997.142967366775,392.997569512511,0.148589711121666,0.4,112.725166222525,0.7
"54",54,4,335.386338833495,1,2.12196977967407,711.679675520203,711.679675520203,0.17160519851486,0.4,91.8809054382124,0.7
"55",55,5,394.865258974344,1,1.19810315277602,473.089311698881,473.089311698881,0.195112293078143,0.4,68.65772937719,0.7
"56",56,6,450.240234933668,1,1.4732565861546,663.319391467819,663.319391467819,0.195112293078143,0.4,96.2651282619276,0.7
"57",57,0,49.999929782297,0,13.1050866583105,655.253412706441,0,0.0159032733681335,0.4,8.46424341096886,0.8
"58",58,1,132.682093424199,0.021958035114754,8.64600336981581,1147.16982685984,25.1895953407747,0.0257555883496717,0.4,23.8813868130604,0.8
"59",59,2,209.659328604211,0.0686022939253466,5.64822641850705,1184.20335870875,81.2390668815206,0.0671378424592051,0.4,62.9560596550626,0.8
"60",60,3,281.325265669213,0.414824495267304,3.54027265437924,995.968145034688,413.151983066328,0.169816812710475,0.4,127.35432430152,0.8
"61",61,4,348.046375142608,1,2.00248104146094,696.956267772276,696.956267772276,0.196120226874126,0.4,101.619684764414,0.8
"62",62,5,410.163841705879,1,1.10325699069812,452.51612569361,452.51612569361,0.222985477803592,0.4,74.0509183897656,0.8
"63",63,6,467.995308878614,1,1.2761997694201,597.255505280575,597.255505280575,0.222985477803592,0.4,97.7364477599093,0.8
"64",64,0,49.999929782297,0,12.8016502864504,640.081615420042,0,0.0178911825391501,0.4,9.29257928405144,0.9
"65",65,1,136.039061907865,0.0220996675007155,8.42904018695003,1146.67871981638,25.341218438088,0.0289750368933806,0.4,26.8120608851854,0.9
"66",66,2,216.141640463966,0.0724338750790273,5.48879022674392,1186.35612377102,85.9323712684688,0.0755300727666058,0.4,70.6607370076815,0.9
"67",67,3,290.717277535387,0.435740028368405,3.41158775095185,991.807503029795,432.1702295062,0.191043914299284,0.4,141.213848977737,0.9
"68",68,4,360.147322670739,1,1.8891630206051,680.377003959493,680.377003959493,0.220635255233392,0.4,110.289924131276,0.9
"69",69,5,424.786812949321,1,1.01561935616333,431.421709474264,431.421709474264,0.250858662529041,0.4,78.3676991076253,0.9
"70",70,6,484.966288496678,1,1.1073206321505,537.013177149821,537.013177149821,0.250858662529041,0.4,97.5483758918663,0.9
"71",71,0,49.999929782297,0,12.5029568907798,625.146966610075,0,0.0198790917101668,0.4,10.0741921510745,1
"72",72,1,139.244909933489,0.0222396980951209,8.21602138841508,1144.03915824147,25.4430854882866,0.0321944854370896,0.4,29.6750386681265,1
"73",73,2,222.332138461845,0.0764467394088323,5.33288085587705,1185.67080484938,90.6406670429809,0.0839223030740064,0.4,78.1423676661197,1
"74",74,3,299.686489741077,0.456724423690607,3.28698025404269,985.063574182287,449.902593217014,0.212271015888094,0.4,154.24711863354,1
"75",75,4,371.70352253678,1,1.78193218271647,662.350469237367,662.350469237367,0.245150283592658,0.4,117.90022166863,1
"76",76,5,438.751502733467,1,0.934772577307817,410.13287300784,410.13287300784,0.27873184725449,0.4,81.6829454453063,1
"77",77,6,501.173286496869,1,0.962317827796891,482.287988411496,482.287988411496,0.27873184725449,0.4,96.0535134807145,1
"78",78,0,49.999929782297,0,12.2100779329303,610.503039282889,0,0.0218670008811835,0.4,10.811313231787,1.1
"79",79,1,142.304949495657,0.0223776086658627,8.00762866100544,1139.52519218435,25.4998488155934,0.0354139339807986,0.4,32.4617451622038,1.1
"80",80,2,228.241080068441,0.0806283077824293,5.18091010069479,1182.49651712007,95.342693134008,0.092314533381407,0.4,85.3727764920115,1.1
"81",81,3,308.247764003462,0.477649003023382,3.16662452695422,976.104929872161,466.235546599646,0.233498117476903,0.4,166.419292211913,1.1
"82",82,4,382.734123019324,1,1.68062892771653,643.234038770493,643.234038770493,0.269665311951923,0.4,124.478180976857,1.1
"83",83,5,452.081050132887,1,0.860280115684233,388.916338106969,388.916338106969,0.306605031979939,0.4,84.0810079540342,1.1
"84",84,6,516.643157391611,1,0.837583584109341,432.731827473632,432.731827473632,0.306605031979939,0.4,93.5536120824186,1.1
"85",85,0,49.999929782297,0,11.9237522974917,596.186777616085,0,0.0238549100522002,0.4,11.5061888118222,1.2
