"","R","SSB","SPR","YPR","B","SY","SPR0","pSPR","Fmulti","Scenario"
"116",27.8523690809862,9233.57738132999,331.51856326769,90.9139145128181,20450.0637349099,2532.16765782215,671.004205498092,0.494063316669679,1.4,"B"
"117",27.2699012865887,8724.48193270605,319.930821935052,93.3606158342518,19676.9807627518,2545.93438492866,671.004205498092,0.476794063753393,1.5,"B"
"118",26.6874107962101,8249.75600881116,309.125380195471,95.5894997543054,18939.6814629376,2551.03570198136,671.004205498092,0.460690674756657,1.6,"B"
"119",26.1048825758925,7806.02170218342,299.025352038632,97.6257302566613,18234.7698686026,2548.50756446177,671.004205498092,0.445638566179571,1.7,"B"
"120",25.5223001490561,7390.3287146948,289.563584454911,99.4909785465785,17559.2800144951,2539.23861592039,671.004205498092,0.431537659648445,1.8,"B"
"121",24.9396239205623,7000.0746975327,280.680844259294,101.20398105967,16910.5751853902,2523.98897854511,671.004205498092,0.418299679732919,1.9,"B"
"122",24.3568239059047,6632.97550523196,272.325141030558,102.78099688565,16286.3496429996,2503.41767200358,671.004205498092,0.405847144919769,2,"B"
"123",23.7738805162427,6287.01848766722,264.450663970142,104.236184807742,15684.5800535342,2478.09863590111,671.004205498092,0.394111783209821,2.1,"B"
"124",23.1907308483653,5960.39410711048,257.016225408464,105.581915687027,15103.4101183591,2448.52174445322,671.004205498092,0.383032212469784,2.2,"B"
"125",22.6073316754669,5651.50369795849,249.985437427426,106.82903252933,14541.2143456895,2415.11839616514,671.004205498092,0.372554203653403,2.3,"B"
"126",22.0236642213502,5358.93205874565,243.326088015389,107.987067978581,13996.5712002447,2378.27133608017,671.004205498092,0.362629751082955,2.4,"B"
"127",21.4396423377851,5081.37948919658,237.008594133177,109.064426981941,13468.1218033252,2338.30231114302,671.004205498092,0.353214767047911,2.5,"B"
"128",20.8552292619403,4817.70240739174,231.006926218922,110.068540820712,12954.7043820963,2295.50414248505,671.004205498092,0.344270459597856,2.6,"B"
"129",20.2703875745687,4566.87019890822,225.297626012727,111.005997488854,12455.2692525454,2250.13496950452,671.004205498092,0.335761868803023,2.7,"B"
"130",19.6850339018734,4327.9335628747,219.859086067554,111.882652447601,11968.8152732895,2202.41367453731,671.004205498092,0.32765679300676,2.8,"B"
"131",19.0991372343295,4100.05436815933,214.672229318806,112.703723030367,11494.491194839,2152.54415889621,671.004205498092,0.31992680159054,2.9,"B"
"132",18.5126173247726,3882.45359294009,209.719324114413,113.473869171881,11031.4707891013,2100.69786909875,671.004205498092,0.312545469009001,3,"B"
"133",17.9254438203746,3674.4410015204,204.984659701643,114.197262655272,10579.0512169659,2047.03656683852,671.004205498092,0.30548938147039,3.1,"B"
"134",17.3375414350168,3475.37195890329,200.453563264976,114.877646684601,10136.5453868084,1991.69597395591,671.004205498092,0.298736672024548,3.2,"B"
"135",16.7488555679974,3284.66493427118,196.112798330371,115.518387278215,9703.34365085026,1934.8008288374,671.004205498092,0.292267614306224,3.3,"B"
"136",16.1593280903251,3101.78671458835,191.95022820568,116.122517724917,9278.88268171612,1876.46192599396,671.004205498092,0.286064120959113,3.4,"B"
"137",15.568899528854,2926.24813181961,187.954718726033,116.692777138306,8862.64271702262,1816.77813069351,671.004205498092,0.280109598696945,3.5,"B"
"138",14.9775120585734,2757.60044877417,184.116055990466,117.166860394996,8454.1457335617,1754.86799181162,671.004205498092,0.274388825706085,3.6,"B"
"139",14.3851100892966,2595.43142967517,180.42485692246,117.166860394996,8052.95171644405,1685.4581701772,671.004205498092,0.26888781835358,3.7,"B"
"140",13.7916257010546,2439.35795328967,176.8724011342,117.166860394996,7658.64309104163,1615.92111448557,671.004205498092,0.263593580613859,3.8,"B"
"141",13.1970211026381,2289.03405114966,173.450813887997,117.166860394996,7270.85642038002,1546.25348219243,671.004205498092,0.258494376736794,3.9,"B"
"142",12.6012275674045,2144.13211787996,170.152638416449,117.166860394996,6889.22958716116,1476.44657191093,671.004205498092,0.253579093874893,4,"B"
"143",12.0041712690107,2004.34786483567,166.970948674316,117.166860394996,6513.42191769237,1406.49098961458,671.004205498092,0.248837410117827,4.1,"B"
"144",11.4058237434024,1869.40946411779,163.899557469415,117.166860394996,6143.14910023061,1336.38470106637,671.004205498092,0.244260104670656,4.2,"B"
"145",10.8061088796067,1739.05387553985,160.932477630481,117.166860394996,5778.11100099106,1266.11791751592,671.004205498092,0.239838254830339,4.3,"B"
"146",10.2049783836247,1613.04255637225,158.064279583443,117.166860394996,5418.04653110686,1195.68530557139,671.004205498092,0.235563768882955,4.4,"B"
"147",9.60237856233014,1491.15222551748,155.28988113083,117.166860394996,5062.70719852032,1125.08062135016,671.004205498092,0.231429072811186,4.5,"B"
"148",8.9982547195558,1373.17451871493,152.604539603733,117.166860394996,4711.85910876655,1054.29744097268,671.004205498092,0.227427098598367,4.6,"B"
"149",8.39254515414016,1258.9136541068,150.003798726749,117.166860394996,4365.27795134586,983.328311308366,671.004205498092,0.223551205041107,4.7,"B"
"150",7.78518482975693,1148.18617213808,147.48348269773,117.166860394996,4022.75071078628,912.165364007861,671.004205498092,0.219795168926328,4.8,"B"
